iter	Passed	Remaining
806	11947	2857
807	11963	2842
808	11978	2828
809	11995	2813
810	12007	2798
811	12027	2784
812	12042	2769
813	12059	2755
814	12072	2740
815	12087	2725
816	12100	2710
817	12113	2695
818	12129	2680
819	12147	2666
820	12163	2651
821	12178	2637
822	12191	2622
823	12204	2606
824	12218	2591
825	12234	2577
826	12248	2562
827	12264	2547
828	12279	2532
829	12293	2517
830	12306	2502
831	12322	2488
832	12340	2474
833	12354	2459
834	12371	2444
835	12385	2429
836	12400	2414
837	12414	2400
838	12432	2385
839	12445	2370
840	12460	2355
841	12473	2340
842	12486	2325
843	12498	2310
844	12512	2295
845	12525	2280
846	12539	2265
847	12555	2250
848	12567	2235
849	12580	2220
850	12593	2204
851	12608	2190
852	12622	2175
853	12638	2160
854	12654	2146
855	12667	2131
856	12683	2116
857	12697	2101
858	12713	2086
859	12733	2072
860	12752	2058
861	12766	2043
862	12778	2028
863	12797	2014
864	12814	1999
865	12827	1984
866	12842	1970
867	12855	1955
868	12868	1939
869	12880	1924
870	12896	1910
871	12909	1894
872	12925	1880
873	12938	1865
874	12953	1850
875	12970	1836
876	12984	1821
877	12999	1806
878	13012	1791
879	13027	1776
880	13043	1761
881	13059	1747
882	13083	1733
883	13100	1719
884	13114	1704
885	13128	1689
886	13140	1674
887	13154	1659
888	13169	1644
889	13185	1629
890	13200	1614
891	13216	1600
892	13231	1585
893	13243	1570
894	13258	1555
895	13271	1540
896	13289	1525
897	13304	1511
898	13324	1496
899	13341	1482
900	13354	1467
901	13370	1452
902	13384	1437
903	13399	1422
904	13415	1408
905	13429	1393
906	13442	1378
907	13459	1363
908	13475	1349
909	13490	1334
910	13507	1319
911	13522	1304
912	13535	1289
913	13549	1274
914	13564	1260
915	13581	1245
916	13598	1230
917	13613	1216
918	13626	1201
919	13640	1186
920	13657	1171
921	13670	1156
922	13682	1141
923	13698	1126
924	13715	1112
925	13729	1097
926	13745	1082
927	13763	1067
928	13784	1053
929	13796	1038
930	13812	1023
931	13828	1008
932	13846	994
933	13861	979
934	13877	964
935	13890	949
936	13904	934
937	13920	920
938	13932	905
939	13944	890
940	13957	875
941	13970	860
942	13985	845
943	14002	830
944	14018	815
945	14030	800
946	14043	785
947	14057	771
948	14070	756
949	14085	741
950	14100	726
951	14114	711
952	14130	696
953	14145	682
954	14163	667
955	14176	652
956	14190	637
957	14202	622
958	14215	607
959	14228	592
960	14239	577
961	14251	562
962	14263	548
963	14275	533
964	14286	518
965	14296	503
966	14308	488
967	14320	473
968	14331	458
969	14341	443
970	14351	428
971	14364	413
972	14376	398
973	14387	384
974	14397	369
975	14408	354
976	14418	339
977	14428	324
978	14437	309
979	14447	294
980	14456	280
981	14465	265
982	14475	250
983	14485	235
984	14494	220
985	14504	205
986	14512	191
987	14521	176
988	14531	161
989	14540	146
990	14549	132
991	14557	117
992	14565	102
993	14573	87
994	14580	73
995	14588	58
996	14596	43
997	14605	29
998	14613	14
999	14621	0
